"","ukr","en","NOTES – use \n for newline","max length"
"menu_streaming_mod","Модифікація для трансляції","Streaming integration content mod","",""
"streaming_integration_connectionerror","Помилка з'єднання!","Connection error!","",""
"streaming_integration_nextvotein","Наступне голосування через $0 с","Next vote in $0 s","",""
"streaming_integration_voteendsin","Голосування закінчується через $0 с","Voting ends in $0 s","",""
"streaming_integration_voteoptionformat","$0 ($1) <$2","$0 ($1) <$2","",""
"streaming_integration_votetie","Нічия! Обираємо випадкового переможця","It's a tie! Picking random winner","",""
"streaming_integration_winner","Переможець:","The winner is:","",""
"menu_replayedit_writinggif","Записується gif, будь ласка, зачекайте. Натисніть $0, щоб скасувати","Writing gif - please wait – press $0 to cancel","",""
"menu_replayedit_writinggif_frameprogress","Кадр - $0 / $1 - $2%","Frame - $0 / $1 - $2%","",""
"menu_replayedit_writinggif_timeremaining","$0 с залишилося","$0 s remaining","",""
"menu_replayedit_returntogame","Повернутися до гри $0","Return to game $0","",""
"menu_replayedit_title_keyboard_exp","РЕДАКТОР ВІДТВОРЕННЯ КЛІПІВ (експериментальний) - Клацніть ПКМ/ЛКМ на кадрах, щоб встановити початкову та кінцеву точки кліпу.","REPLAY CLIP EDITOR (experimental) - Right/Left click on frames to set clip start and end points.","",""
"menu_replayedit_title_gamepad_exp","РЕДАКТОР ВІДТВОРЕННЯ КЛІПІВ (експериментальний) - [A] - початок кліпу на виділеному кадрі. [B] - кінець кліпу на виділеному кадрі.","REPLAY CLIP EDITOR (experimental) - [A] - start clip on hovered frame. [B] - end clip on hovered frame.","",""
"menu_replayedit_title_keyboard","РЕДАКТОР ВІДТВОРЕННЯ КЛІПУ - Клацніть ПКМ/ЛКМ на кадрах, щоб встановити початкову та кінцеву точки кліпу.","REPLAY CLIP EDITOR - Right/Left click on frames to set clip start and end points.","",""
"menu_replayedit_title_gamepad","РЕДАКТОР ВІДТВОРЕННЯ КЛІПУ - [A] - початок кліпу на виділеному кадрі. [B] - кінець кліпу на виділеному кадрі.","REPLAY CLIP EDITOR - [A] - start clip on hovered frame. [B] - end clip on hovered frame.","",""
"menu_replayedit_saveasgif","Зберегти як Gif [ENTER]","Save as Gif [ENTER]","",""
"menu_replayedit_opengifdir","Відкрити теку з Gif","Open gif directory","",""
"menu_replayedit_size","Розмір: ","Size: ","",""
"menu_replayedit_full","Повний","Full","",""
"menu_replayedit_sizeformat","$0x$1","$0x$1","",""
"menu_replayedit_outputscale","Масштаб виходу: $0%","Output scale: $0%","",""
"menu_replayedit_outputinfo1","Вихідні дані: $0 кадрів - $1 с","Output: $0 frames - $1s","",""
"menu_replayedit_outputinfo2"," - $0x$1 пікселів"," - $0x$1 px","",""
"menu_replayedit_startclip_gamepad","[A] — почати кліпу на виділеному кадрі. ","[A] - start clip on hovered frame. ","",""
"menu_replayedit_startclip_keyboard","ЛКМ — почати кліпу на виділеному кадрі. ","Left click - start clip on hovered frame. ","",""
"menu_replayedit_endclip_gamepad","[B] — завершити кліп на виділеному кадрі. ","[B] - end clip on hovered frame. ","",""
"menu_replayedit_endclip_keyboard","ПКМ — завершити кліп на кадрі, на який ви навелися.","Right click - end clip on hovered frame.","",""
"menu_replayedit_frame"," Кадр = $0"," Frame = $0","",""
"menu_replayedit_imagecenter","ЛКМ — встановити центр зображення.","Left click - set image center.","",""
"progress_new","$0 (Нове)","$0 (new)","",""
"log_golden_statue","Піднято золоту статуетку","Picked a golden statue","",""
"logdesc_golden_statue","Ви отримали $0 золота!","You got $0 gold!","",""
"logdesc_heart_evil","Збільшено максимальне здоров'я до $0 ...ціною прокляття!","Increased maximum health to $0 ...with the cost of being cursed!","",""
"log_altar_magic","Ваша цікавість винагороджена","Your curiosity is rewarded","",""
"log_altar_magic_monster","Ваша цікавість винагороджена, але...","Your curiosity is rewarded, but...","",""
"log_altar_magic_worm","Це не те, що ви шукаєте!","That is not what you seek!","",""
"log_moon_altar","Чотири есенції розкривають свою таємницю","The four essences reveal their secret","",""
"logdesc_moon_altar","Місячне яйце тріснуло. Його вміст розблокований.","The moon's egg cracks open. Its contents have been unlocked","",""
"logdesc_moon_altar_drunk","Місяць розливається і відкриває свій п'янкий вміст","The moon spills and unlocks its inebriating contents","",""
"log_heart_fullhp_temple","Отримано повне відновлення здоров'я","Picked up Full Health Regeneration","",""
"logdesc_heart_fullhp_temple","Збільшено максимальне здоров'я на $0 і відновлено здоров'я до $1 (відновлено $2 здоров'я)","Increased maximum health by $0 and restored health to $1 (regained $2 health)","",""
"log_worm_deflector_death","Кристал хробака розбитий!","The worm crystal has shattered!","",""
"logdesc_worm_deflector_death","Ви відчуваєте себе менш безпечно...","You feel less safe...","",""
"logdesc_heart_fullhp","Відновлено здоров'я до $0 (відновлено $1 здоров'я)","Restored health to $0 (regained $1 health)","",""
"log_ocarina","Світ навколо вас змінюється!","The world around you changes!","",""
"logdesc_ocarina","Ваша музика вивільнила дивну енергію","Your music released strange energies","",""
"log_ocarina_done","Схоже, що музична енергія зникла...","Seems like the musical energy is gone...","",""
"log_overingestion_00","Ви давитеся їжею","You're choking on food","",""
"log_overingestion_01","Якщо ви з'їсте більше, це може вбити вас","Eating any more might kill you","",""
"log_overingestion_02","Ви давитеся їжею","You're choking on food","",""
"log_overingestion_03","Якщо з'їсти більше, це може вбити вас","Eating any more might kill you","",""
"log_overingestion_04","Ви давитеся їжею","You're choking on food","",""
"log_overingestion_05","Якщо з'їсти більше, це може вбити вас","Eating any more might kill you","",""
"log_overingestion_exploding_00","Ви тріщите по швах","You're bursting at the seams","",""
"log_overingestion_exploding_01","Ви відчуваєте, що ось-ось вибухнете","You're feeling like you'll soon explode","",""
"log_overingestion_exploding_02","Ви тріщите по швах","You're bursting at the seams","",""
"log_overingestion_exploding_03","Ви відчуваєте, що ось-ось вибухнете","You're feeling like you'll soon explode","",""
"log_overingestion_exploding_04","Ви відчуваєте вибухове стиснення в животі","You're feeling an explosive tightness in your stomach","",""
"log_overingestion_exploding_05","Ви відчуваєте вибухове стиснення в животі","You're feeling an explosive tightness in your stomach","",""
"log_kantele","Світ навколо змінюється!","The world around you changes!","",""
"logdesc_kantele","Ваша музика вивільнила дивну енергію","Your music released strange energies","",""
"log_kantele_done","Здається, музична енергія зникла...","Seems like the musical energy is gone...","",""
"log_alchemist_key_first","Ключ починає дзижчати!","The key begins to hum!","",""
"logdesc_alchemist_key_first","Чогось все ще не вистачає...","Something is still missing...","",""
"log_alchemist_key_second","Ключ починає шепотіти!","The key begins to whisper!","",""
"logdesc_alchemist_key_second","«Я можу дати тобі так багато в обмін на...»","”I can give you so much in exchange for...”","",""
"log_alchemist_key_invalid","Здавалося б, нічого не сталося...","Nothing seemed to happen...","",""
"log_alchemist_chest_open","Кришталевий ключ заговорив!","The glass key speaks!","",""
"logdesc_alchemist_chest_open","Скриня слухає","The chest listens","",""
"log_alchemist_chest_opened","Кришталевий ключ знову заговорив!","The glass key speaks again!","",""
"logdesc_alchemist_chest_opened","Скриня продовжує слухати","The chest keeps listening","",""
"log_castdelaying","ЗАТРИМКА ЧАКЛУВАННЯ...","CAST DELAY...","",""
"log_weathercrystal_broken","Ви прокляті жадібністю!","Cursed by greed!","",""
"logdesc_weathercrystal_broken","Ваше прагнення до скарбів неодмінно стане вашою погибеллю.","Your desire for treasures will surely be your undoing.","",""
"log_curse_fade","Прокляття зникає","The curse fades away","",""
"logdesc_curse_fade","Ви знову в безпеці... поки що","You're safe again... for now","",""
"logdesc_gods_are_impressed","Боги дуже вражені вами","The Gods are very impressed with you","",""
"logdesc_gods_are_afraid","Боги налякані","The Gods are afraid","",""
"logdesc_gods_are_curious","Боги дуже зацікавлені","The Gods are very curious","",""
"logdesc_temple_peace_temple_break","Боги дивляться в інший бік","The Gods look the other way","",""
"log_altar_success_00","Боги приймають вашу жертву","The Gods accept your sacrifice","",""
"log_altar_success_01","Боги задоволені вашою жертвою","The Gods are satisfied with your sacrifice","",""
"log_altar_success_02","Боги раді вашій жертві","The Gods are happy with your sacrifice","",""
"log_altar_fail_00","Боги не раді вашій жертві","The Gods aren't happy with your sacrifice","",""
"log_altar_fail_01","Боги насміхаються над вашим непідготовленим жертвоприношенням","The Gods sneer at your untrained sacrifice","",""
"log_altar_fail_02","Боги насміхаються з вашої грубої жертви","The Gods mock your crude sacrifice","",""
"log_altar_fail_03","Боги насміхаються над вашим безграмотним жертвоприношенням","The Gods scorn at your illiterate sacrifice","",""
"log_reality_mutation_00","Ваша реальність похитнулася","Your reality is shaken","",""
"log_reality_mutation_01","Ви відчуваєте, що речі вже не такі, як зазвичай","You sense things are no longer what they used to be","",""
"log_reality_mutation_02","Ви відчуваєте, що щось змінилося","You feel something has changed","",""
"log_reality_mutation_03","Ви відчуваєте, що правила Космосу змінилися","You feel the rules of the Cosmos have shifted","",""
"log_reality_mutation_04","Ви відчуваєте, що реальність змінилася","You sense the reality has shifted","",""
"log_reality_mutation_05","Реальність змінилася","The reality has shifted","",""
"status_reality_mutation","Реальність змінилася","The reality has shifted","",""
"statusdesc_reality_mutation","Ви відчуваєте, що речі вже не такі, як зазвичай.","You sense things are no longer what they used to be.","",""
"booktitle_allspells","Мапа Ґнозису","Map of Gnosis","",""
"bookdesc_allspells","Ніхто інший, як ти є вчителем істини,\n де б і з якого б джерела вона не з'явилася.\n \nТи не почуєш від мене нічого правдивого, чого б ти сам мені не сказав.\n \nІстинно, коли ти не йшов зі мною,\n навчаючи мене, чого уникати і чого шукати....\nБез тебе я не зміг би розгледіти нічого з цього.","None other than you is teacher of the truth,\nwherever and from whatever source it is manifest.\n \nYou hear nothing true from me which you have not first told me.\n \nTruth, when did you ever fail to walk with me,\nteaching me what to avoid and what to seek....\nWithout you I could discern none of these things.","",""
"reward_gold_statue","Золота статуетка","Golden statue","",""
"reward_clock","Присвячується 5 хвилинам","Dedicated to 5 minutes","",""
"reward_minit","1 хвилина?!","1 minute?!","",""
"reward_nolla","Без золота","No gold","",""
"reward_dollar","Всі гроші","All the monies","",""
"reward_peace","Пацифізм","Pacifist","",""
"reward_crown","Король","King","",""
"reward_nohit","Неушкоджений","Undamaged","",""
"controls_use","Взаємодіяти","interact","",""
"controls_replayeditopen","Зберегти повтор","save replay","",""
"controls_usewand","Використати паличку","use wand","",""
"teleport_mystery","Портал до Вежі","Portal to the Tower","",""
"teleport_mystery_back","Портал назад до Гори","Portal back to the Mountain","",""
"teleport_world","Портал у далекі землі","Portal to a faraway land","",""
"teleport_deeper","Портал глибше","Portal deeper","",""
"teleport_ending","Портал до Лабораторії","Portal to The Laboratory","",""
"teleport_ending_victory","Портал до Твору","Portal to The Work","",""
"teleport_end_wall","Портал до кришталевого сховища","Portal to Crystal vault","",""
"teleport_generic","Портал","Portal","",""
"teleport_back","Портал назад","Portal back","",""
"gamemode_normal","Нова гра","New Game","",""
"gamemode_normal_desc","Дослідіть новий світ.\nОригінальний досвід Noita.","Explore a new world.\nThe original Noita experience.","",""
"gamemode_dailyrun","Щоденний забіг","Daily Run","",""
"gamemode_dailyrun_desc","Новий день — новий світ.\nДеякі початкові предмети випадкові.\nКожен гравець грає з ідентичним ключем генерації.\nБудьте обережні, ви можете зіграти лише раз на 24 години.","New day, new world.\nSome starting items are randomized.\nEvery player is playing the same seed.\nBe careful, you can only play once in 24 hours.","",""
"gamemode_nightmare_exp","Жахіття (експериментально)","Nightmare (experimental)","",""
"gamemode_nightmare","Жахіття","Nightmare","",""
"gamemode_nightmare_desc","Для більш випробувального досвіду.\nВідкривається після проходження гри.","For a more challenging experience.\nUnlock this mode by completing the game.","",""
"gamemode_newgameplus","Нова гра+ (експериментально)","New Game+ (experimental)","",""
"gamemode_newgameplus_desc","Для більш випробувального досвіду.\nВідкривається після проходження гри.","For a more challenging experience.\nUnlock this mode by completing the game.","",""
"gamemode_laboratory","Лабораторія заклинань","Spell Lab","",""
"gamemode_laboratory_desc","Грайтеся з магією досхочу.\nСмерть - не проблема.\nРозблокуйте нові заклинання для цього режиму, застосувавши їх.","Play around with magic to your heart's content.\nDeath is not a problem.\nUnlock new spells for this mode by casting them.","",""
"gamemode_comingsoon","Незабаром!","Coming soon!","",""
"gamemode_comingsoon_desc","Це таємниця.","It's a mystery.","",""
"gamemode_nightmare_desc_PETRI_is_this_correct_new_nightmare_description","Щодня нове налаштування запуску та можливість грати в пізніші біоми.\n Грайте один і той самий код світу стільки разів, скільки захочете.","Every day a new run setup and a\n chance to play later biomes.\n Play the same seed as many times as you want.","",""
"gamemode_daily_practice_run","Щоденний тренувальний забіг","Daily Practice Run","",""
"gamemode_daily_practice_run_desc","Почніть забіг з випадкового місця,\nз випадковими предметами.\nВи можете спробувати один і той самий код світу стільки разів, скільки захочете\nпротягом 24 годин.","Start a run from a randomized spot,\nwith randomized items.\nYou can try the same seed as many times as you like\nwithin 24 hours.","",""
"new_game_for_newgame_plus","НОВА ГРА","NEW GAME","",""
"building_worm_deflector","Кристал хробака","Worm crystal","",""
"stat_modsenabled","Модифікації:","Mods enabled:","",""
"damage_curse","прокляття","curse","",""
"damage_rock_curse","проклятий камінь","cursed rock","",""
"damage_overeating","переїдання","overeating","",""
"damage_midas","мідас","midas","",""
"menureleasenotes_betawarning","Ласкаво просимо до бета-версії Noita 1.0!\nПопереджаємо, що гра тут, можливо, буде менш стабільною порівняно з основною гілкою.\nЩасливого ноітингу!","Welcome to the Noita 1.0 Beta version!\nBe warned, the game will probably be less stable here compared to the master branch.\nHappy noiting!","",""
"menureleasenotes_betawarning2","Ласкаво просимо до бета-гілки Noita!\nПопереджаємо, що гра тут може бути менш стабільною порівняно з основною гілкою.","Welcome to the Noita beta branch!\nBe warned, the game will probably be less stable here compared to the master branch.","",""
"inventory_chargecapacity_tooltip","Кількість зарядів, яку може зберігати ця паличка.","The amount of charge this wand can store.","",""
"infinity_symbol","∞","∞","",""
"credits_game_by","ГРА ВІД","A GAME BY","",""
"ingestion_status_caused_by","Причина: Ковтання $0.","Cause: Ingesting $0.","",""
"ingestion_status_caused_by_many","Причина: Ковтання $0 і більше.","Cause: Ingesting $0 and more.","",""
"ingestion_status_caused_by_overingestion","Причина: Переїдання","Cause: Overeating","",""
"status_confusion","Розгубленість","Confused","",""
"statusdesc_confusion","Ви відчуваєте розгубленість.","You feel confused.","",""
"status_movement_faster","Шалена блискавка.","Greased lightning.","",""
"statusdesc_movement_faster","Ви відчуваєте надзвичайну швидкість.","You feel extremely fast.","",""
"status_worm_attractor","Їжа для хробаків","Worm food","",""
"statusdesc_worm_attractor","Ви відчуваєте себе майбутньою їжею для хробаків.","You feel like you're future worm food.","",""
"status_protection_all","Захист від усього","Protection from all","",""
"statusdesc_protection_all","Ви відчуваєте дивну силу у своєму тілі.","You feel strange strength in your body.","",""
"status_mana_regeneration","Регенерація мани","Mana regeneration","",""
"statusdesc_mana_regeneration","Ви швидше відновлюєте ману.","You gain mana back faster.","",""
"status_internal_fire","Внутрішній вогонь ","Internal fire ","",""
"statusdesc_internal_fire","Ви палаєте зсередини.","You're burning inside.","",""
"status_cryptpoison","Отруєння стародавньою отрутою","Ancient venom poisoning","",""
"statusdesc_cryptpoison","Ви втрачаєте здоров'я, поки не знайдете рідкісну протиотруту.","You lose health until you locate a rare antidote.","",""
"status_satiated00","Мінімальна ситість","Minimally satiated","",""
"statusdesc_satiated00","Ваш шлунок майже порожній.","Your stomach is almost empty.","",""
"status_satiated01","Насиченість","Satiated","",""
"statusdesc_satiated01","Ви все ще можете вмістити більше у свій шлунок.","You can still fit more in your stomach.","",""
"status_satiated02","Цілком наситилися","Fully satiated","",""
"statusdesc_satiated02","Ви відчуваєте ситість. Більше їжі ускладнить рух.","You're feeling full. Any more food will make movement difficult.","",""
"status_satiated03","Переїдання","Oversatiated","",""
"statusdesc_satiated03","Ви відчуваєте переповненість.","You're feeling really full.","",""
"status_satiated04","Жахливе переїдання","Terribly oversatiated","",""
"statusdesc_satiated04","Ви відчуваєте нудотну ситість. Більше їжі може зашкодити вам.","You're feeling sickly full. Any more food might hurt you.","",""
"status_satiated05","Здуття","Choking","",""
"statusdesc_satiated05","Ви відчуваєте, що переповнені й задихаєтесь.","You're feeling sickly full and choking.","",""
"status_satiated06","Здуття і нудота","Choking and bloated","",""
"statusdesc_satiated06","Вам точно не хочеться їсти більше.","You most certainly don't feel like eating more.","",""
"status_ingestion_damage","Здуття","Choking","",""
"statusdesc_ingestion_damage","Будь-яка інша їжа чи питво зашкодить вам.","Any more food or drinking will hurt you.","",""
"status_ingestion_exploding","Тріск по швах","Bursting at the seams","",""
"statusdesc_ingestion_exploding","Ви відчуваєте себе настільки переповненими, що можете вибухнути.","You're feeling so full you might explode.","",""
"status_ingestion_alcoholic_00","Злегка напідпитку","Mildly boozed","",""
"statusdesc_ingestion_alcoholic_00","Ви відчуваєте легке сп'яніння.","You're feeling a little tipsy.","",""
"status_ingestion_alcoholic_01","Сп'яніння","Drunk","",""
"statusdesc_ingestion_alcoholic_01","Ви випили занадто багато.\nПорушено прицілювання.","You drank too much.\nAiming is disturbed.","",""
"status_ingestion_alcoholic_02","Надмірне сп'яніння","Wasted","",""
"statusdesc_ingestion_alcoholic_02","Ви випили надто багато.\nПрицілювання порушене.\nВипивши більше, ви отруїтеся","You drank way too much.\nAiming is disturbed.\nDrinking more will make you Poisoned","",""
"status_ingestion_alcoholic_03","Знесиленість.","Wasted","",""
"statusdesc_ingestion_alcoholic_03","Ви випили надто багато.\nПорушено прицілювання.\nЯкщо вип'єте більше, це призведе до пошкодження мозку.","You drank way too much.\nAiming is disturbed.\nDrinking more will give you brain damage","",""
"status_brain_damage","Пошкодження мозку","Brain Damage","",""
"statusdesc_brain_damage","Прицілювання назавжди погіршене.","Your aim is permanently disturbed.","",""
"status_trip_00","Наркотичне сп'яніння","Tripping","",""
"statusdesc_trip_00","Ви відчуваєте, що щось не так.","You sense that something is off.","",""
"status_trip_01","Легке наркотичне сп'яніння","Tripping some","",""
"statusdesc_trip_01","Ви відчуваєте гармонію з магічними силами.","You feel in harmony with the magical forces.","",""
"status_trip_02","Сильне наркотичне сп'яніння","Heavily tripping","",""
"statusdesc_trip_02","Чувааак, цей колір цікаво пахне.","Maan, that colour smells interesting.","",""
"status_trip_03","Наркотичні кульки","Tripping balls","",""
"statusdesc_trip_03","Звичні поняття більше не дійсні.","Usual concepts don't apply.","",""
"status_nightvision","Зір хробака","Wormy vision","",""
"statusdesc_nightvision","Ви бачите речі більш чітко.","You're seeing things more clearly.","",""
"status_food_poisoning","Харчове отруєння","Food poisoning","",""
"statusdesc_food_poisoning","Вас нудить. Ніщо не затримується всередині.","You're feeling sick. Nothing stays inside.","",""
"status_ingestion_movement_slower","Незграбні рухи","Clumsy movement","",""
"statusdesc_ingestion_movement_slower","Рухатися важко.","Movement is difficult.","",""
"status_ingestion_freezing","Холодно","Chilly","",""
"statusdesc_ingestion_freezing","Ви відчуваєте холод всередині. Рухатися важче.","You're feeling cold inside. Movement is difficult.","",""
"status_farts","Газики","Gassy","",""
"statusdesc_farts","Ви відчуваєте тиск всередині.","You're feeling pressure inside.","",""
"status_curse_cloud_00","Прокляття дощу","Rain Curse","",""
"statusdesc_curse_cloud_00","Ви відчуваєте, що над вами нависла темна хмара.","You feel like there's a dark cloud hanging over you.","",""
"status_curse_cloud_01","Прокляття грому","Thunder Curse","",""
"statusdesc_curse_cloud_01","Вага хмари майже нестерпна. Голова болить.","The weight of the cloud is almost unbearable. Your head hurts.","",""
"status_curse_cloud_02","Прокляття кислотного дощу","Acid Rain Curse","",""
"statusdesc_curse_cloud_02","Всі брудні думки, які ви коли-небудь мали, омивають вас.","All the foul thoughts you have ever had wash over you.","",""
"status_jarate","Мокрий одяг","Jarated","",""
"statusdesc_jarate","Мокрий одяг захищає вас від вогню.\nВи відчуваєте підвищену небезпеку отримання критичного удару.","Wet clothes protect you from fire.\nYou sense an increased danger of receiving a critical hit.","",""
"status_protection_polymorph","Імунітет до поліморфіна","Polymorph immunity","",""
"statusdesc_protection_polymorph","Ви не можете бути перетворені.","You cannot be polymorphed.","",""
"status_faster_levitation","Швидша левітація","Faster levitation","",""
"statusdesc_faster_levitation","Ви левітуєте на 75% швидше.","You levitate 75% faster.","",""
"ending_above_part_a","Світ відновлено","World has been restored","",""
"ending_above_part_b","І всі набагато щасливіші","And everyone is much happier","",""
"inventory_perks_many","$0 x $1","$0 x $1","",""
"death_curse","Прокляття","Curse","",""
"death_polymorph",", під час перетворення на «$0»",", while polymorphed to $0","",""
"streamingevent_speedy_enemies","Швидкі створіння","Speedy Creatures","",""
"streamingeventdesc_speedy_enemies","Істоти поруч рухаються швидше","Nearby creatures move faster","",""
"streamingevent_protect_enemies","Живий щит","Protect Creatures","",""
"streamingeventdesc_protect_enemies","Істоти, що знаходяться поруч, тимчасово блокують всю вхідну шкоду","Nearby creatures temporarily block all incoming damage","",""
"streamingevent_teleporting_enemies","Істоти, що телепортуються","Teleporting Creatures","",""
"streamingeventdesc_teleporting_enemies","Істоти, що знаходяться поруч, починають телепортуватися навколо вас","Nearby creatures start teleporting around","",""
"streamingevent_polymorph_enemies","Поліморфні істоти","Polymorph Creatures","",""
"streamingeventdesc_polymorph_enemies","Істоти поблизу перетворюються у випадкових істот","Nearby creatures polymorph into random beings","",""
"streamingevent_tiny_ghost_player","Виклик дружніх привидів","Summon Friendly Ghosts","",""
"streamingeventdesc_tiny_ghost_player","Ви отримуєте кількох крихітних друзів-привидів","You get a few tiny ghost friends","",""
"streamingevent_tiny_ghost_enemy","Виклик ворожих привидів","Summon Hostile Ghosts","",""
"streamingeventdesc_tiny_ghost_enemy","Сусідні істоти отримують крихітних друзів-привидів","Nearby creatures get tiny ghost friends","",""
"streamingevent_homing_enemy_projectiles","Самонаведення для ворогів","Homing for Hostiles","",""
"streamingeventdesc_homing_enemy_projectiles","Снаряди ворогів поблизу прискорюються до вас","Nearby enemies' projectiles accelerate toward you","",""
"streamingevent_health_plus","Плюс здоров'я","Health Plus","",""
"streamingeventdesc_health_plus","Ви отримуєте 80 ОЗ","You gain 80 HP","",""
"streamingevent_health_minus","Мінус здоров'я","Health Minus","",""
"streamingeventdesc_health_minus","Ви втрачаєте 40 ОЗ","You lose 40 HP","",""
"streamingevent_max_health_plus","Макс. здоров'я плюс","Max Health Plus","",""
"streamingeventdesc_max_health_plus","Ви отримуєте 50 макс. ОЗ","You gain 50 maximum HP","",""
"streamingevent_max_health_minus","Макс. здоров'я мінус","Max Health Minus","",""
"streamingeventdesc_max_health_minus","Ви втрачаєте 25 макс. ОЗ","You lose 25 maximum HP","",""
"streamingevent_regeneration_field","Поле регенерації","Regeneration Field","",""
"streamingeventdesc_regeneration_field","Ви отримуєте відновлювальне поле","You're given a regenerative field","",""
"streamingevent_protect_player","Тимчасове безсмертя","Temporary Immortality","",""
"streamingeventdesc_protect_player","Ви стаєте недоторканими на деякий час","You become invincible for 1 minute","",""
"streamingevent_shield_enemies","Щитові Істоти","Shielded Creatures","",""
"streamingeventdesc_shield_enemies","Всі істоти отримують щит","All creatures gain a shield","",""
"streamingevent_shield_player","Дружній Щит","Friendly Shield","",""
"streamingeventdesc_shield_player","Ви отримуєте щит","You gain a shield","",""
"streamingevent_faster_player","Прискорений Рух","Speedy Movement","",""
"streamingeventdesc_faster_player","Ви можете рухатися швидше на деякий час","You can move faster for a time","",""
"streamingevent_slimy_player","Слиз","Slimy","",""
"streamingeventdesc_slimy_player","Всі покриваються слизом","Everyone gets covered in slime","",""
"streamingevent_wet_player","Душ","Shower","",""
"streamingeventdesc_wet_player","Дощова хмара з'являється над вами","You get covered in water","",""
"streamingevent_oiled_player","Блиск","Glisten","",""
"streamingeventdesc_oiled_player","Хмара нафти з'являється над вами","You get covered in oil","",""
"streamingevent_drunk_player","Бухло.","Booze","",""
"streamingeventdesc_drunk_player","Ви п'янієте.","You become drunk","",""
"streamingevent_drunk_enemies","П'яні Істоти","Drunk Creatures","",""
"streamingeventdesc_drunk_enemies","Істоти поблизу сп'яніли","Nearby creatures become drunk","",""
"streamingevent_spell_refresh","Поновлення заклинань","Spell Refresh","",""
"streamingeventdesc_spell_refresh","Ваші заклинання оновлюються","Your spells are refreshed","",""
"streamingevent_sea_of_x","Море Випадковостей","Sea of Random","",""
"streamingeventdesc_sea_of_x","Викликається величезна кількість випадкової рідини","A huge body of random liquid is summoned","",""
"streamingevent_sea_of_water","Море Води","Sea of Water","",""
"streamingeventdesc_sea_of_water","Викликається величезна кількість води","A huge body of water is summoned","",""
"streamingevent_sea_of_oil","Море нафти","Sea of Oil","",""
"streamingeventdesc_sea_of_oil","Викликається величезна кількість нафти","A huge body of oil is summoned","",""
"streamingevent_sea_of_lava","Море лави","Sea of Lava","",""
"streamingeventdesc_sea_of_lava","Викликається величезна кількість лави","A huge body of lava is summoned","",""
"streamingevent_nuke","Бум!","Boom!","",""
"streamingeventdesc_nuke","В укриття!","Take cover!","",""
"streamingevent_spawn_worm","Виклик Хробака","Summon Worm","",""
"streamingeventdesc_spawn_worm","З'являється величезний хробак","A huge worm appears","",""
"streamingevent_spawn_shopkeeper","Виклик Стеварі","Summon Stevari","",""
"streamingeventdesc_spawn_shopkeeper","З'являється Стеварі","Stevari appears","",""
"streamingevent_bouncy_shots","Відскакуючі заклинання","Bouncy Spells","",""
"streamingeventdesc_bouncy_shots","Ваші снаряди на деякий час стають відскакуючими","Your projectiles become bouncy for a time","",""
"streamingevent_boomerang_shots","Заклинання - Бумеранги","Boomerang Spells","",""
"streamingeventdesc_boomerang_shots","Ваші снаряди деякий час повертаються до вас","Your projectiles home back to you for a time","",""
"streamingevent_fizzle","Шипучі Заклинання","Fizzle Spells","",""
"streamingeventdesc_fizzle","Ваші снаряди мають шанс випаруватися на деякий час","Your projectiles have a chance to fizzle out for a time","",""
"streamingevent_explosive_projectile","Вибухові Заклинання","Explosive Spells","",""
"streamingeventdesc_explosive_projectile","Ваші снаряди на деякий час стають вибуховими","Your projectiles become explosive for a time","",""
"streamingevent_give_wand_to_enemy","Озброєна Істота","Armed Creature","",""
"streamingeventdesc_give_wand_to_enemy","Істота, що знаходиться поруч, отримує випадкову паличку","A nearby creature gets a random wand","",""
"streamingevent_give_wand_to_player","Нова Паличка","New Wand","",""
"streamingeventdesc_give_wand_to_player","З'являється випадкова паличка","A random wand appears","",""
"streamingevent_remove_liquid","Видалити Рідини","Remove Liquids","",""
"streamingeventdesc_remove_liquid","Зникає вся рідина поблизу","All nearby liquids disappears","",""
"streamingevent_remove_ground","Видалити Землю","Remove Ground","",""
"streamingeventdesc_remove_ground","Зникає вся тверда земля поблизу","All nearby solid ground disappears","",""
"streamingevent_berserk","Лють","Rage","",""
"streamingeventdesc_berserk","Всі стають розлюченими","Everyone becomes berserk","",""
"streamingevent_fireball_thrower_player","Метальник вогнекуль","Fireball Thrower","",""
"streamingeventdesc_fireball_thrower_player","Ви починаєте вивергати вогняні кулі на деякий час","You start spewing fireballs for a time","",""
"streamingevent_fireball_thrower_enemies","Істота-Метальник Вогнекуль","Fireball Thrower Creatures","",""
"streamingeventdesc_fireball_thrower_enemies","Істоти починають вивергати вогняні кулі на деякий час","Creatures start spewing fireballs for a time","",""
"streamingevent_spawn_chest","Лут!","Loot!","",""
"streamingeventdesc_spawn_chest","З'явилася скриня!","A chest appears!","",""
"streamingevent_transform_giga_discs","Гігантські дископили скрізь","Giga Sawblades Everywhere","",""
"streamingeventdesc_transform_giga_discs","На деякий час усі снаряди перетворюються на гігантські дискові пили(!)","For a time, all projectiles become giant sawblades(!)","",""
"streamingevent_transform_nukes","Снаряди в ядерки","Nukes Everywhere","",""
"streamingeventdesc_transform_nukes","Всі повітряні снаряди стають ядерними(!!!)","All airborne projectiles become nukes(!!!)","",""
"streamingevent_rain_gold","Дощ Зі Скарбів","Treasure Rain","",""
