,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length,,,,,,,,,,
itempickupdesc_orb_13,Secrets of great undoing have been unlocked to you.,Вам открылись тайны великой погибели.,Os segredos do desfazer foram-lhe revelados.,Se te han desbloqueado los secretos de la gran ruina.,Geheimnisse des großen Rückgängigmachens wurden für dich freigeschaltet.,Les secrets de la grande chute ont été débloqués pour vous.,I segreti della grande rovina ti sono stati rivelati.,Zostały ci ujawnione sekrety wielkiej klęski.,大毁灭的秘密已然向你开放。,秘密『偉大なる復旧』の封印が解かれた。,위대한 실패의 비밀을 알게 되었습니다.,,,,,,,,,,,,,
menu_mods,Mods,Моды,Mods,Modificadores,Mods,Mods,Mod,Mody,模组,MOD,모드,,,,,,,,,,,,,
menu_mods_availablemods,Available mods,Доступные моды,Mods disponíveis,Modificadores disponibles,Verfügbare Mods,Mods disponibles,Mod disponibili,Dostępne mody,可用模组,利用可能なMOD,이용 가능한 모드,,,,,,,,,,,,,
menu_mods_availablemods_none,No mods installed,Нет установленных модов,Nenhum mod instalado,No hay modificadores instalados,Keine Mods installiert,Aucun mod installé,Nessuna mod installata,Brak zainstalowanych modów,未安装模组,インストール済みのMODなし,설치된 모드 없음,,,,,,,,,,,,,
menu_mods_enabled,Enabled,Подключены,Ativado,Activado,Aktiviert,Activé(s),Abilitate,Włączono,已启用,有効,활성화됨,,,,,,,,,,,,,
menu_mods_moveup,Move up,Сдвинуть вверх,Mover para cima,Subir,Nach oben,Déplacer vers le haut,Sposta su,Przesuń w górę,向上移动,上移動,위로 이동,,,,,,,,,,,,,
menu_mods_movedown,Move down,Сдвинуть вниз,Mover para baixo,Bajar,Nach unten,Déplacer vers le bas,Sposta giù,Przesuń w dół,向下移动,下移動,아래로 이동,,,,,,,,,,,,,
menu_mods_help_exp,This is an experimental feature.\nUse at your own risk. Only run mods from trusted sources!\nUpmost enabled mod will be loaded first.\nClick mod name to enable/disable the mod.,"Это экспериментальная возможность.\nВы пользуетесь ей на свой страх и риск. Запускайте моды только из доверенных источников!\nМод, подключенный последним, будет загружен первым.\nЩелкните название мода, чтобы подключить или отключить его.",Este é um recurso experimental.\nUse por sua conta e risco. Ative apenas mods de fontes confiáveis!\nOs mods são carregados de cima para baixo.\nClique no nome do mod para ativá-lo ou desativá-lo.,Esta es una función experimental.\nÚsala bajo tu propio riesgo. ¡Ejecuta solo modificadores de fuentes de confianza!\nSe cargará primero el modificador activado que esté más arriba.\nHaz clic en el nombre del modificador para activarlo/desactivarlo.,"Dies ist eine experimentelle Funktion.\nVerwendung auf eigenes Risiko. Führe nur Mods aus vertrauenswürdigen Quellen aus!\nDer am meisten aktivierte Mod wird zuerst geladen.\nKlicke auf den Modnamen, um den Mod zu aktivieren/deaktivieren.",Il s'agit d'une fonctionnalité expérimentale.\nUtilisez-la à vos risques et périls. N'exécutez que des mods provenant de sources sûres !\nLe mod activé le plus haut dans la liste sera chargé en premier.\nCliquez sur le nom du mod pour l'activer ou le désactiver.,Questa è una funzionalità sperimentale.\nUtilizzala a tuo rischio e pericolo. Esegui solo mod che provengono da fonti attendibili!\nLa mod abilitata che si trova più in alto verrà caricata per prima.\nClicca sul nome della mod per abilitarla o disabilitarla.,"Jest to funkcja eksperymentalna.\nKorzystasz z niej na własne ryzyko. Uruchamiaj mody tylko z zaufanych źródeł!\nWczytany zostanie najpierw najwyższy mod.\nKliknij nazwę moda, aby go włączyć/wyłączyć.",该功能为实验性。\n产生风险请自行承担。请仅运行来自可信来源的模组！\n最上方的已启用模组将被最先加载。\n点击模组名称以启用/禁用模组。,これは実験的な機能となっています。\n自己責任で使用してください。信用できる開発者のMODのみ実行するようにしてください。\n一番上のMODが最初に読み込まれます。\nMOD名をクリックすると有効/無効が切り替わります。,실험적인 기능입니다.\n책임은 사용자에게 있습니다. 신뢰할 수 있는 출처의 모드만 사용하세요!\n가장 위에 있는 활성화된 모드부터 불러옵니다.\n모드 이름을 클릭하여 활성/비활성화할 수 있습니다.,,,,,,,,,,,,,
menu_mods_help,Use mods at your own risk. Only run mods from trusted sources!\nUpmost enabled mod will be loaded first.\nClick mod name to enable/disable the mod.,"Вы пользуетесь модами на свой страх и риск.  Запускайте моды только из доверенных источников!\nМод, подключенный последним, будет загружен первым.\nЩелкните название мода, чтобы подключить или отключить его.",Use por sua conta e risco. Ative apenas mods de fontes confiáveis!\nOs mods são carregados de cima para baixo.\nClique no nome do mod para ativá-lo ou desativá-lo.,Usa los modificadores bajo tu propio riesgo. ¡Ejecuta solo modificadores de fuentes de confianza!\nSe cargará primero el modificador activado que esté más arriba.\nHaz clic en el nombre del modificador para activarlo/desactivarlo.,"Verwendung von Mods auf eigenes Risiko. Führe nur Mods aus vertrauenswürdigen Quellen aus!\nDer am meisten aktivierte Mod wird zuerst geladen.\nKlicke auf den Modnamen, um den Mod zu aktivieren/deaktivieren.",Utilisez les mods à vos risques et périls. N'exécutez que des mods provenant de sources sûres !\nLe mod activé le plus haut dans la liste sera chargé en premier.\nCliquez sur le nom du mod pour l'activer ou le désactiver.,Utilizza le mod a tuo rischio e pericolo. Esegui solo mod che provengono da fonti attendibili!\nLa mod abilitata che si trova più in alto verrà caricata per prima.\nClicca sul nome della mod per abilitarla o disabilitarla.,"Korzystasz z modów na własne ryzyko. Uruchamiaj mody tylko z zaufanych źródeł!\nWczytany zostanie najpierw najwyższy mod.\nKliknij nazwę moda, aby go włączyć/wyłączyć.",请仅运行来自可信来源的模组！\n最上方的已启用模组将被最先加载。\n点击模组名称以启用/禁用模组。,MODは自己責任で使用してください。信用できる開発者のMODのみ実行するようにしてください。\n一番上のMODが最初に読み込まれます。\nMOD名をクリックすると有効/無効が切り替わります。,책임은 사용자에게 있습니다. 신뢰할 수 있는 출처의 모드만 사용하세요!\n가장 위에 있는 활성화된 모드부터 불러옵니다.\n모드 이름을 클릭하여 활성/비활성화할 수 있습니다.,,,,,,,,,,,,,
menu_mods_help_paused,Changes will be applied on next restart.,Изменения будут применены при следующем перезапуске.,As mudanças serão realizadas quando o jogo for reiniciado.,Se aplicarán los cambios al reiniciar.,Änderungen werden beim nächsten Neustart übernommen.,Les modifications seront appliquées au prochain redémarrage.,Le modifiche verranno applicate al prossimo riavvio.,Zmiany zostaną zastosowane przy następnym uruchomieniu.,更改将会在下次重新启动后应用。,変更は次回の再起動時に有効になります。,게임을 다시 시작하면 변경 사항이 적용됩니다.,,,,,,,,,,,,,
menu_mods_openmodfolder,Open mod folder,Открыть папку модов,Abrir pasta de mods,Abrir carpeta de modificadores,Mod-Ordner öffnen,Ouvrir le dossier de mods,Apri cartella delle mod,Otwórz folder modów,打开模组文件夹,MODフォルダを開く,모드 폴더 열기,,,,,,,,,,,,,
menu_mods_restart,Restart with enabled mods active,Перезапустить с активными подключенными модами,Reiniciar com os mods ativados ligados,Reiniciar activando los modificadores elegidos,Mit aktivierten Mods neustarten,Redémarrer avec les mods activés actifs,Riavvia con le mod abilitate attive,"Uruchom ponownie, używając włączonych modów",以已启用模组生效的状态重新启动,有効にしたMODをアクティブにしたまま再起動する,활성화된 모드를 적용한 상태로 다시 시작,,,,,,,,,,,,,
menu_mods_restart_tooltip,"Warning: some mods may not handle enabling/disabling ingame well - weirdness, bugs or crashes may occur.","Внимание! Некоторые моды могут плохо сочетаться с игрой: возможны странности, ошибки или вылеты.","Alerta: alguns mods podem ter conflitos ao serem ativados ou desativados durante o jogo. Os resultados podem ser imprevisíveis, com erros e travamentos.","Cuidado: puede que algunos modificadores no puedan activarse/desactivarse correctamente mientras se juega, y se pueden experimentar eventos extraños, errores o caídas.","Warnung: Einige Mods können das Aktivieren/Deaktivieren im Spiel möglicherweise nicht gut handhaben – es können Merkwürdigkeiten, Fehler oder Abstürze auftreten.",Avertissement : certains mods ne réagiront pas bien à une activation/désactivation en jeu. Des bugs ou plantages pourraient survenir.,"Attenzione: alcune mod potrebbero non essere in grado di gestire l'abilitazione e la disabilitazione durante la partita. Potrebbero verificarsi stranezze, bug o arresti inaspettati.","Uwaga: niektóre mody mogą sobie nie radzić z włączaniem/wyłączaniem w grze – może to spowodować błędy, dziwne zachowanie czy nawet zawieszenie gry.",警告：部分模组可能无法良好处理游戏内的启用/禁用 - 可能发生怪异状况、出现错误或崩溃。,警告: ゲーム内で有効化/無効化がうまく切り替わらないMODがあります - 不具合、バグ、クラッシュなどが発生する可能性があります。,"경고: 일부 모드는 게임 내에서 활성/비활성화가 잘 되지 않을 수 있습니다. 이상한 현상, 버그, 충돌이 발생할 수 있습니다.",,,,,,,,,,,,,
menu_mods_newgame,Start a new game with enabled mods active,Начать новую игру с активными подключенными модами,Começar um novo jogo com os mods ativados ligados,Iniciar una nueva partida activando los modificadores elegidos,Mit aktivierten Mods ein neues Spiel starten,Lancer une nouvelle partie avec les mods activés actifs,Inizia una nuova partita con le mod abilitate attive,"Rozpocznij nową grę, używając włączonych modów",以已启用模组生效的状态开始新游戏,有効にしたMODをアクティブにしたまま新規ゲームを始める,활성화된 모드를 적용한 상태로 새 게임 시작,,,,,,,,,,,,,
menu_mods_refresh,Refresh,Обновить,Atualizar,Actualizar,Aktualisieren,Actualiser,Aggiorna,Odśwież,刷新,更新,새로 고침,,,,,,,,,,,,,
menu_mods_reenablenotificiation,This version changes how mods behave.\nMods need to be re-enabled via the “Mods” menu.,В этой версии изменилось поведение модов.\nИх нужно повторно подключить в меню «Моды».,Esta versão altera o comportamento dos mods.\nOs mods precisam ser reativados no menu “Mods”.,Esta versión cambia la forma en la que actúan los modificadores.\nLos modificadores tendrán que volver a activarse desde el menú de Modificadores.,Diese Version ändert das Verhalten von Mods.\nMods müssen über das Menü „Mods“ wieder aktiviert werden.,Cette version modifie la façon dont les mods se comportent.\nLes mods doivent être réactivés dans le menu « Mods ».,"Questa versione cambia la modalità con cui si comportano le mod.\nLe mod devono essere riabilitate attraverso il menu ""Mod"".",Ta wersja zmienia zachowanie modów.\nWszelkie używane mody należy ponownie włączyć w menu „Mody”.,本版本更改了模组的运转方式。\n需要通过“模组”菜单重新启用模组。,このバージョンではMODの挙動が変化します。\n「Mods」メニューから再度MODを有効化してください。,이 버전에서는 모드 작동 방식이 변경되었습니다.\n'모드' 메뉴에서 모드를 다시 활성화해야 합니다.,,,,,,,,,,,,,
menu_mods_extraprivilegesareyousure,"This mod has requested extra privileges.\nIf enabled, it has full access to your computer,\neven without using possible exploits in the game code.\nAre you sure you want to trust this mod?","Этот мод запрашивает дополнительные привилегии.\nПри включении он получит полный доступ к вашему компьютеру\nдаже без использования возможных уязвимостей в коде игры.\nВы уверены, что хотите подключить этот мод?","Este mod solicitou privilégios a mais.\nSe ele for ativado, terá acesso completo ao seu computador,\nmesmo sem tirar partido do código do jogo.\nTem certeza de que confia neste mod?","Este modificador ha solicitado permisos adicionales.\nSi lo activas, tendrá acceso total a tu ordenador,\nincluso sin usar las fisuras que pueda haber en el código del juego.\n¿Seguro que quieres confiar en este modificador?","Dieser Mod hat zusätzliche Berechtigungen angefordert.\nWenn aktiviert, hat er vollen Zugriff auf deinen Computer,\nsogar ohne mögliche Exploits im Spielcode zu verwenden.\nBist du sicher, dass du diesem Mod vertrauen möchtest?","Ce mod a fait une demande de privilèges supplémentaires.\nSi vous l'activez, il aura un accès complet à votre ordinateur,\nmême sans utiliser d'éventuels exploits dans le code du jeu.\nVoulez-vous vraiment faire confiance à ce mod ?","Questa mod ha richiesto privilegi extra.\nSe abilitata, avrà accesso completo al tuo computer,\nanche senza sfruttare eventuali vulnerabilità del codice di gioco.\nConfermi di volerti fidare di questa mod?","Ten mod poprosił o dodatkowe uprawnienia.\nPo włączeniu będzie miał pełny dostęp do twojego komputera,\nbez potrzeby wykorzystywania ewentualnych luk w kodzie gry.\nCzy na pewno chcesz zaufać temu modowi?",这个模组要求了额外的权限。\n如果启用，即使不利用游戏代码中可能的漏洞，\n该模组也将获得对您计算机的完全访问权限。\n确定要信任这个模组吗？,このMODが追加のアクセス特権を要求しています。\nMODを有効にすると、ゲームコードを悪用せずとも\nお持ちのPCへのフルアクセスが可能になります。\n本当にこのMODを信頼しますか？,이 모드는 추가 권한이 필요합니다.\n활성화하면 게임 코드 사용과 관계 없는 부분을 포함하여\n컴퓨터 전체 기능에 대한 접근 권한이 필요합니다.\n이 모드를 신뢰하십니까?,,,,,,,,,,,,,
menu_mods_extraprivilegesnotification,This mod has requested extra privileges.\nUnsafe mods need to be enabled to run this mod.,"Этот мод запрашивает дополнительные привилегии.\nЧтобы запустить этот мод, понадобится подключить небезопасные моды.",Este mod solicitou privilégios a mais.\nA opção de mods arriscados precisa estar selecionada para que este mod seja ativado.,Este modificador ha solicitado permisos adicionales.\nTendrás que activar los modificadores no seguros para poder ejecutar este modificador.,"Dieser Mod hat zusätzliche Berechtigungen angefordert.\nUnsichere Mods müssen aktiviert sein, um diesen Mod ausführen zu können.",Ce mod a fait une demande de privilèges supplémentaires.\nDes mods non sécurisés doivent être activés pour exécuter ce mod.,Questa mod ha richiesto privilegi extra.\nÈ necessario abilitare le mod non sicure per eseguire questa mod.,"Ten mod poprosił o dodatkowe uprawnienia.\nAby uruchomić ten mod, należy włączyć opcję niebezpiecznych modów.",该模组要求了额外的权限。\n运行此模组需要启用不安全的模组。,このMODが追加のアクセス特権を要求しています。\nこのMODを実行するには安全でないMODを有効にする必要があります。,이 모드는 추가 권한이 필요합니다.\n이 모드를 실행하려면 위험 모드를 활성화해야 합니다.,,,,,,,,,,,,,
menu_mods_workshopsandboxnotification,Workshop mods cannot be enabled while unsafe mods are on.,Моды из мастерской нельзя подключить вместе с небезопасными модами.,Mods da oficina não podem ser ativados com a opção de mods arriscados selecionada.,Los modificadores del Workshop no se pueden activar cuando hay activados modificadores no seguros.,"Workshop-Mods können nicht aktiviert werden, solange unsichere Mods aktiviert sind.",Impossible d'activer des mods du Workshop pendant que des mods non sécurisés sont exécutés.,Impossibile abilitare le mod di Steam Workshop mentre ci sono mod non sicure attive.,"Nie można włączyć modów z Warsztatu, gdy włączona jest opcja niebezpiecznych modów.",不安全模组开启期间，创意工坊模组无法启用。,アンセーフモードをオンにしている間は、WorkshopのMODを有効にすることができません。,위험 모드가 활성화되면 창작마당 모드를 활성화할 수 없습니다.,,,,,,,,,,,,,
menu_mods_enablinginvalid,This mod is broken and cannot be enabled [Error code #N0174H4X].,"Этот мод неисправен, и его нельзя подключить [Код ошибки #N0174H4X].",Este mod está corrompido e não pode ser ativado [Código de erro nº N0174H4X].,"Este modificador no funciona, por lo que no se puede activar [Código de error #N0174H4X].",Dieser Mod ist kaputt und kann nicht aktiviert werden [Fehlercode #N0174H4X].,Ce mod est défectueux et ne peut être activé [Code d'erreur #N0174H4X].,Questa mod è danneggiata e non può essere abilitata [codice errore: #N0174H4X].,Ten mod jest uszkodzony i nie można go włączyć [kod błędu #N0174H4X].,该模组已经损坏，无法启用 [Error code #N0174H4X]。,このMODは破損しているため、有効にできません[Error code #N0174H4X]。,이 모드는 망가져서 활성화할 수 없습니다 [오류 코드 #N0174H4X].,,,,,,,,,,,,,
menu_mods_sandboxoffareyousure,Enabling unsafe mods gives all installed mods full access to your computer.\nAre you sure?,Подключение небезопасных модов дает всем установленным модам полный доступ к вашему компьютеру.\nВы уверены?,"Ao selecionar a opção de mods arriscados, os mods instalados terão acesso total ao seu computador.\nTem certeza?",Activar los modificadores no seguros permite que todos los modificadores instalados tengan acceso total a tu ordenador.\n¿Seguro que quieres continuar?,Durch das Aktivieren unsicherer Mods erhalten alle installierten Mods vollen Zugriff auf deinen Computer.\nBist du sicher?,Activer des mods non sécurisés accorde à tous les mods installés un accès complet à votre ordinateur.\nVoulez-vous vraiment le faire ?,L'abilitazione di mod non sicure consente l'accesso completo al tuo computer da parte di tutte le mod installate.\nVuoi davvero continuare?,Włączenie opcji niebezpiecznych modów daje wszystkim zainstalowanym modom pełny dostęp do twojego komputera.\nNa pewno chcesz kontynuować?,启用不安全的模组将赋予已安装的所有模组对您计算机的完全访问权限。\n确定要这样做吗？,安全でないMODを有効にすると、インストールされているすべてのMODにPCへのフルアクセス権が与えられます。\n本当に実行しますか？,위험 모드를 활성화하면 모든 설치한 모드가 컴퓨터 전체 기능에 대한 접근 권한을 갖습니다.\n진행하시겠습니까?,,,,,,,,,,,,,
menu_mods_sandboxoffareyousure_steam,Enabling unsafe mods gives all installed mods full access to your computer.\nAre you sure?,Подключение небезопасных модов дает всем установленным модам полный доступ к вашему компьютеру.\nВы уверены?,"Ao selecionar a opção de mods arriscados, os mods instalados terão acesso total ao seu computador.\nTem certeza?",Activar los modificadores no seguros permite que todos los modificadores instalados tengan acceso total a tu ordenador.\n¿Seguro que quieres continuar?,Durch das Aktivieren unsicherer Mods erhalten alle installierten Mods vollen Zugriff auf deinen Computer.\nBist du sicher?,Activer des mods non sécurisés accorde à tous les mods installés un accès complet à votre ordinateur.\nVoulez-vous vraiment le faire ?,L'abilitazione di mod non sicure consente l'accesso completo al tuo computer da parte di tutte le mod installate.\nVuoi davvero continuare?,Włączenie opcji niebezpiecznych modów daje wszystkim zainstalowanym modom pełny dostęp do twojego komputera.\nNa pewno chcesz kontynuować?,启用不安全的模组将赋予已安装的所有模组对您计算机的完全访问权限。\n确定要这样做吗？,安全でないMODを有効にすると、インストールされているすべてのMODにPCへのフルアクセス権が与えられます。\n本当に実行しますか？,위험 모드를 활성화하면 모든 설치한 모드가 컴퓨터 전체 기능에 대한 접근 권한을 갖습니다.\n진행하시겠습니까?,,,,,,,,,,,,,
menu_mods_sandboxoption,Unsafe mods: $0,Небезопасные моды: $0,Mods arriscados: $0,Modificadores no seguros: $0,Unsichere Mods: $0,Mods non sécurisés : $0,Mod non sicure: $0,Niebezpieczne mody: $0,不安全的模组：$0,アンセーフモード: $0,위험 모드: $0,,,,,,,,,,,,,
menu_mods_initerrors_title,Errors occurred while initializing mods:,Ошибка при инициализации модов:,Ocorreram erros na inicialização dos mods:,Errores ocurridos al inicializar modificadores:,Beim Initialisieren der Mods sind Fehler aufgetreten:,Erreur lors de l'initialisation des mods :,Si sono verificati degli errori durante l'inizializzazione delle mod:,Wystąpiły błędy podczas inicjowania modów:,初始化模组时发生错误：,MOD起動中にエラーが発生しました:,모드 초기화 중 오류가 발생했습니다.,,,,,,,,,,,,,
menu_mods_customactivation,\nPlay this mod via the “New game” menu.,\nИграйте с этим модом через меню «Новая игра».,\nJogue este mod pelo menu “Novo jogo”.,"\nJuega con este modificador desde el menú ""Nueva partida"".",\nSpiele diesen Mod über das Menü „Neues Spiel“.,\nJouez à ce mod via le menu « Nouvelle partie ».,"\nGioca a questa mod tramite l'opzione del menu ""Nuova partita"".",\nZagraj w ten mod poprzez menu „Nowa gra”.,\n通过“新游戏”菜单游玩此模组。,\n「新規ゲーム」メニューからこのMODをプレイしてください。,\n'새 게임' 메뉴를 통해 이 모드를 플레이하세요.,,,,,,,,,,,,,
menu_mods_translationactivation,\nEnable this translation via “Language” in the “Options” menu.,\nПодключите этот перевод в разделе «Язык» меню «Параметры».,"\nAtive a tradução acessando “Idioma”, no menu “Opções”.","\nActiva esta traducción desde ""Idiomas"", en el menú de ""Opciones"".",\nAktiviere diese Übersetzung über „Sprache“ im Menü „Optionen“.,\nActivez cette traduction via « Langue » dans le menu « Options ».,"\nAbilita questa traduzione tramite la scheda ""Lingua"" nel menu delle Opzioni.",\nWłącz to tłumaczenie poprzez pozycję „Język” w menu „Opcje”.,\n通过“选项”菜单中的“语言”启用此翻译。,\n「オプション 」メニューの「言語」からこの翻訳を有効にしてください。,\n'옵션' 메뉴의 '언어'를 통해 번역을 활성화하세요.,,,,,,,,,,,,,
menu_mods_nameconflict,Cannot enable multiple mods with the id “$0”.,Нельзя подключит несколько модов с идентификатором «$0».,Não é possível ativar vários mods com o identificador “$0”.,"No se pueden activar varios modificadores con el identificador ""$0"".",Es können nicht mehrere Mods mit der ID „$0“ aktiviert werden.,Impossible d'activer plusieurs mods avec l'ID « $0 ».,"Impossibile abilitare più mod con l'ID: ""$0"".",Nie można włączyć naraz kilku modów o identyfikatorze „$0”.,无法启用 ID 为“$0”的复数模组。,ID「$0」のMODを複数有効化することはできません。,$0 ID의 모드는 다중으로 활성화할 수 없습니다.,,,,,,,,,,,,,
menu_mods_installmods,Get mods,Получить моды,Baixe mods,Consigue modificadores,Hole dir Mods,Obtenir des mods,Ottieni mod,Pobierz mody,获取模组,MODを入手する,모드 받기,,,,,,,,,,,,,
menu_mods_installmods_steam,Install mods using Workshop,Установить моды через Мастерскую,Instale mods usando a Oficina,Instala modificadores desde el Workshop,Installiere Mods mit Workshop,Installer des mods à l'aide du Workshop,Installa mod tramite Steam Workshop,Zainstaluj mody za pomocą Warsztatu,使用创意工坊安装模组,Workshopを使ってMODをインストールする,창작마당에서 모드를 설치하세요,,,,,,,,,,,,,
menu_mods_workshopdownloading,Downloading Workshop content $0,Загрузка содержимого из Мастерской — $0,Baixando conteúdo da oficina $0,Descargando contenido $0 del Workshop,Folgendes Workshop-Inhalt wird heruntergeladen: $0,Téléchargement de contenu du Workshop $0,Download del contenuto di Steam Workshop in corso $0,Pobieranie zawartości z Warsztatu: $0,正在下载创意工坊内容“$0”,Workshopのコンテンツ$0をダウンロード中,$0 창작마당 콘텐츠를 다운로드합니다,,,,,,,,,,,,,
menu_mods_workshop_mod_tooltip,This is a Steam Workshop mod.,Это мод из Мастерской Steam.,Este é um mod da Oficina Steam.,Este es un modificador del Workshop de Steam.,Dies ist ein Steam-Workshop-Mod.,Il s'agit d'un mod du Steam Workshop.,Questa è una mod di Steam Workshop.,To jest mod z Warsztatu Steam.,这是一个 Steam 创意工坊模组。,これはSteam WorkshopのMODです。,Steam 창작마당 모드입니다.,,,,,,,,,,,,,
menu_mods_disclaimernotification_exp,This is an experimental feature.\nUse is at your own risk!\nYou should only run mods from trusted sources.,Это экспериментальная возможность.\nВы пользуетесь ею на свой страх и риск.\nЗапускайте моды только из доверенных источников.,Este é um recurso experimental.\nUse por sua conta e risco.\nAtive apenas mods de fontes confiáveis!,Esta es una función experimental.\n¡Úsala bajo tu propio riesgo!\nEjecuta solo modificadores de fuentes de confianza.,Dies ist eine experimentelle Funktion.\nDie Verwendung erfolgt auf eigenes Risiko!\nDu solltest Mods nur aus vertrauenswürdigen Quellen ausführen.,Il s'agit d'une fonctionnalité expérimentale.\nUtilisez-la à vos risques et périls !\nN'exécutez que des mods provenant de sources sûres.,Questa è una funzionalità sperimentale.\nUtilizzala a tuo rischio e pericolo!\nDovresti eseguire solo mod che provengono da fonti attendibili.,Jest to funkcja eksperymentalna.\nKorzystasz z niej na własne ryzyko!\nNajlepiej uruchamiaj mody tylko z zaufanych źródeł.,该功能为实验性质。\n产生风险请自行承担！\n您应仅运行来自可信来源的模组。,これは実験的な機能となっています。\n自己責任で使用してください。\n信用できる開発者のMODのみ実行するようにしてください。,실험적인 기능입니다.\n책임은 사용자에게 있습니다!\n신뢰할 수 있는 출처의 모드만 사용하세요.,,,,,,,,,,,,,
menu_mods_disclaimernotification,Use of mods is at your own risk!\nYou should only run mods from trusted sources.,Вы пользуетесь модами на свой страх и риск!\nЗапускайте моды только из доверенных источников.,Use mods por sua conta e risco.\nAtive apenas mods de fontes confiáveis!,¡Usa los modificadores bajo tu propio riesgo!\nEjecuta solo modificadores de fuentes de confianza.,Die Verwendung von Mods erfolgt auf eigenes Risiko!\nDu solltest Mods nur aus vertrauenswürdigen Quellen ausführen.,Utilisez les mods à vos risques et périls !\nN'exécutez que des mods provenant de sources sûres.,L'utilizzo delle mod è a tuo rischio e pericolo!\nDovresti eseguire solo mod che provengono da fonti attendibili.,Korzystasz z modów na własne ryzyko!\nUruchamiaj mody tylko z zaufanych źródeł.,使用模组产生风险，请自行承担！\n您应仅运行来自可信来源的模组。,MODの使用は自己責任でお願いします。\n信用できる開発者のMODのみ実行するようにしてください。,모드 사용 시 책임은 사용자에게 있습니다!\n신뢰할 수 있는 출처의 모드만 사용하세요.,,,,,,,,,,,,,
menu_mods_initerrors_log,There were errors when initializing following mods: $0,Ошибки при инициализации следующих модов: $0,Ocorreram erros na inicialização dos seguintes mods: $0,Ha habido errores al inicializar los siguientes modificadores: $0,Beim Initialisieren der folgenden Mods sind Fehler aufgetreten: $0,Erreurs lors de l'initialisation des mods suivants : $0,Si sono verificati degli errori durante l'inizializzazione delle seguenti mod: $0,Wystąpiły błędy podczas inicjowania następujących modów: $0,初始化以下模组时出错：$0,次のMOD起動時にエラーが発生しました: $0,다음 모드 초기화 중 오류가 발생했습니다: $0,,,,,,,,,,,,,
menu_mods_workshopdownloading_noprogress,"Downloading Workshop content $0\nIf the downloads don't seem to progress,\nyou might need to change their priority in the Steam library downloads list.","Загрузка содержимого из Мастерской — $0\nЕсли загрузка не продвигается,\nпопробуйте изменить приоритет в списке загрузок библиотеки Steam.","Baixando conteúdo da oficina $0\nSe os downloads não estiverem em andamento,\npode ser necessário alterar a prioridade deles na lista de downloads da biblioteca do Steam.","Descargando contenido $0 del Workshop\nSi parece que las descargas no avanzan,\npuede que tengas que cambiar su prioridad en la lista de descargas de la biblioteca de Steam.","Folgendes Workshop-Inhalt wird heruntergeladen: $0\nWenn die Downloads nicht fortschreiten,\nmusst du möglicherweise ihre Priorität in der Download-Liste der Steam-Bibliothek ändern.","Téléchargement de contenu du Workshop $0\nSi les téléchargements ne progressent pas,\nvous devrez peut-être modifier leur priorité dans la liste de téléchargements de la bibliothèque Steam.","Download del contenuto di Steam Workshop in corso $0\nSe il download non sembra procedere,\nprova a cambiare la priorità nell'elenco dei download della libreria di Steam.","Pobieranie zawartości z Warsztatu: $0\nJeśli pobieranie nie ma postępów,\nmoże być konieczna zmiana jego priorytetu na liście pobierania biblioteki Steam.",正在下载创意工坊内容“$0”\n若下载没有进展，\n可能需要在 Steam 库的下载列表中更改下载的优先级。,Workshopのコンテンツ$0をダウンロード中\nダウンロードが進まない場合は、\nSteamライブラリのダウンロードリストから優先順位を変更してみてください。,$0 창작마당 콘텐츠 다운로드 중\n다운로드가 진행되지 않으면 Steam 라이브러리에서\n다운로드 목록 우선 순위를 변경해보세요.,,,,,,,,,,,,,
menu_mods_modversion_older,This mod has not been tested with the latest version of the modding interface.,Этот мод не испытывался на совместимость с последней версией интерфейса модификаций.,Este mod não foi testado com a versão mais recente da interface de modificação.,Este modificador no se ha probado con la última versión de la interfaz de modificación.,Dieser Mod wurde nicht mit der neuesten Version der Modding-Oberfläche getestet.,Ce mod n'a pas encore été testé avec la dernière version de l'interface de mod.,Questa mod non è stata testata con l'ultima versione dell'interfaccia di modding.,Ten mod nie był testowany najnowszą wersją interfejsu modowania.,此模组尚未在最新版本的模组接口中进行测试。,このMODは最新バージョンのモデリングインターフェースとの適合試験を行っていません。,이 모드는 최신 모드 인터페이스에서 테스트되지 않았습니다.,,,,,,,,,,,,,
